Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100u","CP_Radial_D5.0mm_P2.50mm",26.000000,-64.000000,0.000000,top
"C2","47u","CP_Radial_D5.0mm_P2.50mm",71.000000,-64.000000,0.000000,top
"C3","100n","C_Rect_L7.0mm_W2.5mm_P5.00mm",80.000000,-64.000000,0.000000,top
"C4","100n","C_Rect_L7.0mm_W2.5mm_P5.00mm",89.000000,-64.000000,0.000000,top
"C5","1.5n","C_Rect_L7.0mm_W2.5mm_P5.00mm",98.000000,-64.000000,0.000000,top
"C6","100n","C_Rect_L7.0mm_W2.5mm_P5.00mm",107.000000,-64.000000,0.000000,top
"C7","1.5n","C_Rect_L7.0mm_W2.5mm_P5.00mm",116.000000,-64.000000,0.000000,top
"C8","100n","C_Rect_L7.0mm_W2.5mm_P5.00mm",125.000000,-64.000000,0.000000,top
"C9","1.5n","C_Rect_L7.0mm_W2.5mm_P5.00mm",71.000000,-82.000000,0.000000,top
"C10","27n","C_Rect_L7.0mm_W2.5mm_P5.00mm",35.000000,-64.000000,0.000000,top
"C11","220n","CP_Radial_D5.0mm_P2.50mm",44.000000,-64.000000,0.000000,top
"C12","220n","CP_Radial_D5.0mm_P2.50mm",62.000000,-82.000000,0.000000,top
"C13","47n","C_Rect_L7.0mm_W2.5mm_P5.00mm",53.000000,-64.000000,0.000000,top
"C14","12n","C_Rect_L7.0mm_W2.5mm_P5.00mm",62.000000,-64.000000,0.000000,top
"C15","1u","C_Rect_L7.0mm_W2.5mm_P5.00mm",80.000000,-91.000000,0.000000,top
"C16","10n","C_Rect_L7.0mm_W2.5mm_P5.00mm",53.000000,-109.000000,0.000000,top
"C17","10n","C_Rect_L7.0mm_W2.5mm_P5.00mm",62.000000,-109.000000,0.000000,top
"C18","22n","C_Rect_L7.0mm_W2.5mm_P5.00mm",125.000000,-109.000000,0.000000,top
"D1","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",134.000000,-64.000000,0.000000,top
"D2","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",143.000000,-64.000000,0.000000,top
"D3","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",26.000000,-73.000000,0.000000,top
"D4","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",35.000000,-73.000000,0.000000,top
"D5","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",44.000000,-73.000000,0.000000,top
"D6","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",53.000000,-73.000000,0.000000,top
"D7","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",62.000000,-73.000000,0.000000,top
"D8","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",107.000000,-82.000000,0.000000,top
"D9","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",116.000000,-82.000000,0.000000,top
"D10","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",80.000000,-82.000000,0.000000,top
"D11","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",89.000000,-82.000000,0.000000,top
"D12","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",98.000000,-82.000000,0.000000,top
"D13","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",89.000000,-91.000000,0.000000,top
"D14","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",98.000000,-91.000000,0.000000,top
"J1","AudioJack2","Jack_6.35mm_Neutrik_NJ3FD-V_Vertical",12.000000,-62.000000,0.000000,top
"J2","AudioJack2","Jack_6.35mm_Neutrik_NJ3FD-V_Vertical",163.000000,-62.000000,0.000000,top
"J3","Barrel_Jack","BarrelJack_Horizontal",163.000000,-13.000000,0.000000,top
"R1","100k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",71.000000,-73.000000,0.000000,top
"R2","100k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",107.000000,-73.000000,0.000000,top
"R3","1M","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",116.000000,-73.000000,0.000000,top
"R4","1M","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",125.000000,-73.000000,0.000000,top
"R5","2.2k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",134.000000,-73.000000,0.000000,top
"R6","100k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",143.000000,-73.000000,0.000000,top
"R7","1M","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",26.000000,-82.000000,0.000000,top
"R8","12k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",35.000000,-82.000000,0.000000,top
"R9","100k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",44.000000,-82.000000,0.000000,top
"R10","1M","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",80.000000,-73.000000,0.000000,top
"R11","12k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",125.000000,-82.000000,0.000000,top
"R12","68k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",134.000000,-82.000000,0.000000,top
"R13","2.2k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",143.000000,-82.000000,0.000000,top
"R14","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",89.000000,-73.000000,0.000000,top
"R15","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",26.000000,-91.000000,0.000000,top
"R16","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",98.000000,-73.000000,0.000000,top
"R17","4.7k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",35.000000,-91.000000,0.000000,top
"R18","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",44.000000,-91.000000,0.000000,top
"R19","15k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",53.000000,-91.000000,0.000000,top
"R20","15k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",62.000000,-91.000000,0.000000,top
"R21","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",107.000000,-91.000000,0.000000,top
"R22","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",116.000000,-91.000000,0.000000,top
